v	02	65	42
r	02	P001	01	02.01	Q271	Y269	見平+	見平+	見平+	02a	023q	見平+	見平+	見平+	居吟切	居吟切	居吟切	01a	0229-0262a	02076727-00000068	金	金	金	金	钅
r	02	P002	02	02.02	Q260	Y260	見平-	見平-	見平-	07b	029p	見平-	見平-	見平-	居銀切	居銀切	居銀切	10a	0229-0266c	02076727-00000086	斤	斤	斤	斤	*
r	02	P003	03	02.03	Q348	Y349	見平-	見平-	見平-	08a	029q	見平-	見平-	見平-	古豪切	古豪切	古豪切	11a	0229-0267a	02076727-00000088	高	髙	髙	髙	*
r	02	P004	04	02.04	Q264	Y262	見平-	見平-	見平-	08b	030p	見平-	見平-	見平-	古和切	古和切	古禾切	11a	0229-0267a	02076727-00000088	戈	戈	戈	戈	*
r	02	P005	05	02.05	Q335	Y334	見平-	見平-	見平-	09b	031p	見平-	見平-	見平-	古稍切	古稍切	古稍切	12b	0229-0267d	02076727-00000091	交	交	交	交	*
r	02	P006	06	02.06	Q256	Y258	見平-	見平-	見平-	09b	031p	見平-	見平-	見平-	古崇切	古崇切	古崇切	12b	0229-0267d	02076727-00000091	弓	弓	弓	弓	*
r	02	P007	07	02.07	Q471	Y471	見平-	見平-	見平-	11a	032q	見平-	見平-	見平-	古寒切	古寒切	古寒切	15a	0229-0269a	02076727-00000096	干	干	干	干	*
r	02	P008	08	02.08	Q190	Y188	見平-	見平-	見平-	11a	032q	見平-	見平-	見平-	古華切	古華切	古華切	15a	0229-0269a	02076727-00000096	瓜	瓜	瓜	瓜	*
r	02	P009	09	02.09	Q432	Y432	見平-	見平-	見平-	11b	033p	見平-	見平-	見平-	居勤切	居勤切	古銀切	15b	0229-0269b	02076727-00000097	巾	巾	巾	巾	*
r	02	P010	10	02.10	Q405	Y405	見平-	見平-	見平-	13b	035p	見平-	見平-	見平-	居惟切	居惟切	居惟切	19a	0229-0271a	02076727-00000104	龜	龜	龜	龜	亀,龟
r	02	P011	11	02.11	Q115	Y113	見平-	見平-	見平-	14a	035q	見平-	見平-	見平-	古談切	古談切	古談切	19b	0229-0271b	02076727-00000105	甘	甘	甘	甘	*
r	02	P012	12	02.12	Q022	Y018	見平-	見平-	見平-	14a	035q	見平-	見平-	見平-	古熒切	古榮切	古螢切	20a	0229-0271c	02076727-00000106	冂	冂	冂	冂	*
r	02	P013	13	02.13	Q275	Y274	見平-	見平-	見平-	14b	036p	見平-	見平-	見平-	古紅切	古紅切	古紅切	20b	0229-0271d	02076727-00000107	工	工	工	工	*
r	02	P014	14	02.14	Q483	Y483	見平-	見平-	見平-	14b	036p	見平-	見平-	見平-	居周切	居周切	居周切	20b	0229-0271d	02076727-00000107	丩	丩	丩	丩	*
r	02	P015	15	02.15	Q078	Y078	見平-	見平-	見平-	14b	036p	見平-	見平-	見平-	公懷切	公懷切	公懷切	20b	0229-0271d	02076727-00000107	𠦬	𠦬	𠦬	𠦬	乖
r	02	P016	16	02.16	Q021	Y017	見平-	見平-	見平-	14b	036p	見平-	見平-	見平-	居英切	居英切	居英切	20b	0229-0271d	02076727-00000107	京	京	京	京	*
r	02	P017	17	02.17	Q343	L042	見平-	見平-	見平-	14b	036p	見平-	見平-	見平-	古黃切	古黃切	古黃切	20b	0229-0271d	02076727-00000107	光	光	光	光	*
r	02	P018	18	02.18	Q520	Y518	見上+	見上+	見上+	15a	036q	見上+	見上+	見上+	居喜切	居喜切	居喜切	21a	0229-0272a	02076727-00000108	己	已	己	己	*
r	02	P019	19	02.19	Q011	Y011	見上-	見上-	見上-	15a	036q	見上-	見上-	見上-	居隱切	居隱切	居隱切	21b	0229-0272b	02076727-00000109	𡎸	𡎸	𡎸	𡎸	*
r	02	P020	20	02.20	Q528	Y526	見上-	見上-	見上-	15a	036q	見上-	見上-	見上-	古揆切	古揆切	古揆切	21b	0229-0272b	02076727-00000109	癸	癸	癸	癸	*
r	02	P021	21	02.21	Q189	Y187	見上-	見上-	見上-	15a	036q	見上-	見上-	見上-	居有切	居有切	居有切	21b	0229-0272b	02076727-00000109	韭	韭	韭	韭	*
r	02	P022	22	02.22	Q510	Y509	見上-	見上-	見上-	15a	036q	見上-	見上-	見上-	高虎切	高虎切	公戶切	21b	0229-0272b	02076727-00000109	古	古	古	古	*
r	02	P023	23	02.23	Q123	Y123	見上-	見上-	見上-	15b	037p	見上-	見上-	見上-	古柳切	古柳切	古柳切	22a	0229-0272c	02076727-00000110	久	乆	乆	乆	*
r	02	P024	24	02.24	Q301	Y301	見上-	見上-	見上-	15b	037p	見上-	見上-	見上-	居尾切	居尾切	居尾切	22a	0229-0272c	02076727-00000110	鬼	鬼	鬼	鬼	*
r	02	P025	25	02.25	Q507	Y505	見上-	見上-	見上-	16b	038p	見上-	見上-	見上-	古酒切	古酒切	居有切	24a	0229-0273c	02076727-00000114	九	九	九	九	*
r	02	P026	26	02.26	Q232	Y234	見上-	見上-	見上-	17a	038q	見上-	見上-	見上-	居魯切	居魯切	九魯切	24a	0229-0273c	02076727-00000114	鼓	鼓	鼓	鼓	*
r	02	P027	27	02.27	Q246	Y248	見上-	見上-	見上-	17b	039p	見上-	見上-	見上-	居矣切	居矣切	居矣切	25a	0229-0274a	02076727-00000116	几	几	几	几	*
r	02	P028	28	02.28	Q067	Y067	見上-	見上-	見上-	17b	039p	見上-	見上-	見上-	居竦切	居竦切	居竦切	25b	0229-0274b	02076727-00000117	𠬞	廾	廾	廾	卄
r	02	P029	29	02.29	Q467	Y467	見上-	見上-	見上-	18a	039q	見上-	見上-	見上-	古本切	古本切	古混切	26b	0229-0274d	02076727-00000119	㯻	㯻	㯻	㯻	*
r	02	P030	30	02.30	Q117	Y118	見上-	見上-	見上-	18a	039q	見上-	見上-	見上-	古老切	古老切	古老切	26b	0229-0274d	02076727-00000119	夰	夰	夰	夰	*
r	02	P031	31	02.31	q018	L101	見上-	見上-	見上-	18a	039q	見上-	見上-	見上-	古火切	古火切	古火切	26b	0229-0274d	02076727-00000119	果	果	果	果	*
r	02	P032	32	02.32	Q054	Y052	見去+	見去+	見去+	18a	039q	見去+	見去+	見去+	古現切	古現切	古面切	26b	0229-0274d	02076727-00000119	見	見	見	見	见
r	02	P033	33	02.33	Q370	Y369	見去-	見去-	見去-	19b	041p	見去-	見去-	見去-	居憩切	居憩切	居例切	28b	0229-0275d	02076727-00000123	彑	彐	彐	彐	*
r	02	P034	34	02.34	Q307	Y307	見去-	見去-	見去-	19b	041p	見去-	見去-	見去-	古旦切	古旦切	公旦切	29a	0229-0276a	02076727-00000124	倝	倝	倝	倝	*
r	02	P035	35	02.35	Q488	Y488	見去-	見去-	見去-	20a	041q	見去-	見去-	見去-	居氣切	居氣切	居氣切	29a	0229-0276a	02076727-00000124	旡	旡	旡	旡	*
r	02	P036	36	02.36	Q482	Y482	見去-	見去-	見去-	20a	041q	見去-	見去-	見去-	九數切	九數切	九數切	29b	0229-0276b	02076727-00000125	句	句	句	句	*
r	02	P037	37	02.37	q020	L173	見去-	見去-	見去-	20a	041q	見去-	見去-	見去-	古孟切	古孟切	古孟切	29b	0229-0276b	02076727-00000125	更	更	更	更	*
r	02	P038	38	02.38	Q005	Y008	見入+	見入+	見入+	20a	041q	見入+	見入+	見入+	古岳切	古岳切	古岳切	29b	0229-0276b	02076727-00000125	珏	玨	玨	𤤴	*
r	02	P039	39	02.39	Q481	Y481	見入-	見入-	見入-	20a	041q	見入-	見入-	見入-	居月切	居月切	居月切	29b	0229-0276b	02076727-00000125	亅	亅	亅	亅	*
r	02	P040	40	02.40	Q515	Y513	見入-	見入-	見入-	20a	041q	見入-	見入-	見入-	古匣切	古匣切	古狎切	30a	0229-0276c	02076727-00000126	甲	甲	甲	甲	*
r	02	P041	41	02.41	Q072	Y072	見入-	見入-	見入-	20b	042p	見入-	見入-	見入-	古逆切	古逆切	古逆切	30a	0229-0276c	02076727-00000126	丮	丮	丮	丮	*
r	02	P042	42	02.42	Q420	Y420	見入-	見入-	見入-	20b	042p	見入-	見入-	見入-	古學切	古學切	古朔切	30a	0229-0276c	02076727-00000126	角	角	角	角	𧢲
r	02	P043	43	02.43	Q018	Y019	見入-	見入-	見入-	21b	043p	見入-	見入-	見入-	古博切	古博切	古鑊切	32a	0229-0277c	02076727-00000130	𩫖	𩫏	𩫏	𩫏	*
r	02	P044	44	02.44	Q423	Y423	見入-	見入-	見入-	22a	043q	見入-	見入-	見入-	古梀切	古梀切	古核切	32b	0229-0277d	02076727-00000131	革	革	革	革	*
r	02	P045	45	02.45	Q295	Y295	見入-	見入-	見入-	24b	046p	見入-	見入-	見入-	居速切	居速切	居速切	36b	0229-0279d	02076727-00000139	谷	谷	谷	谷	*
r	02	P046	46	02.46	Q079	Y079	見入-	見入-	見入-	24b	046p	見入-	見入-	見入-	九忽切	九忽切	九忽切	37a	0229-0280a	02076727-00000140	骨	骨	骨	骨	*
r	02	P047	47	02.47	Q459	Y459	溪平+	溪平+	溪平+	26a	047q	溪平+	溪平+	溪平+	丘顏切	丘顏切	丘顏切	39a	0229-0281a	02076727-00000144	臤	臤	臤	臤	*
r	02	P048	48	02.48	Q095	Y094	溪上+	溪上+	溪上+	26a	047q	溪上+	溪上+	溪上+	苦老切	苦老切	苦道切	39a	0229-0281a	02076727-00000144	丂	丂	丂	丂	*
r	02	P049	49	02.49	Q254	Y235	溪上-	溪上-	溪上-	26a	047q	溪上-	溪上-	溪上-	羌顗切	羌顗切	羌顗切	39b	0229-0281b	02076727-00000145	豈	豈	豈	豈	*
r	02	P050	50	02.50	Q056	Y056	溪上-	溪上-	溪上-	26a	047q	溪上-	溪上-	溪上-	苦苟切	苦苟切	苦狗切	39b	0229-0289b	02076727-00000145	口	口	口	口	*
r	02	P051	51	02.51	Q094	Y095	溪上-	溪上-	溪上-	36a	057q	溪上-	溪上-	溪上-	快我切	快我切	口我切	55b	0229-0297b	02076727-00000175	可	可	可	可	*
r	02	P052	52	02.52	Q365	Y364	溪上-	溪上-	溪上-	36b	058p	溪上-	溪上-	溪上-	苦泫切	苦泫切	苦泫切	55b	0229-0297b	02076727-00000175	犬	犬	犬	犬	犭
r	02	P053	53	02.53	Q097	Y102	溪上-	溪上-	溪上-	40a	061q	溪上-	溪上-	溪上-	丘犯切	丘犯切	口犯切	61a	0229-0300a	02076727-00000186	凵	凵	凵	凵	*
r	02	P054	54	02.54	Q300	Y300	溪去+	溪去+	溪去+	40a	061q	溪去+	溪去+	溪去+	去旣切	去旣切	去旣切	61b	0229-0300b	02076727-00000187	气	气	气	气	乞,氣,気
r	02	P055	55	02.55	Q113	Y111	溪去-	溪去-	溪去-	40a	061q	溪去-	溪去-	溪去-	去劔切	去劔切	丘劔切	61b	0229-0300b	02076727-00000187	欠	欠	欠	欠	*
r	02	P056	56	02.56	Q221	Y222	溪去-	溪去-	溪去-	42a	063q	溪去-	溪去-	溪去-	去句切	去句切	丘居切	64b	0229-0301d	02076727-00000193	去	去	去	去	*
r	02	P057	57	02.57	Q354	Y352	溪去-	溪去-	溪去-	42b	064p	溪去-	溪去-	溪去-	苦定切	苦定切	苦定切	64b	0229-0301d	02076727-00000193	磬	磬	磬	磬	殸
r	02	P058	58	02.58	Q263	Y267	溪入+	溪入+	溪入+	42b	064p	溪入+	溪入+	溪入+	口八切	口八切	口八切	65a	0229-0302a	02076727-00000194	㓞	㓞	㓞	𭃌	*
r	02	P059	59	02.59	Q251	Y251	溪入-	溪入-	溪入-	42b	064p	溪入-	溪入-	溪入-	丘玉切	丘玉切	丘玉切	65a	0229-0302a	02076727-00000194	曲	曲	曲	曲	*



v	03	36	24
r	03	P060	01	03.01	Q233	Y231	群平+	群平+	群平+	01b	066p	群平+	群平+	群平+	渠參切	渠參切	其林切	01b	0229-0294d	02076728-00000003	琴	琴	琴	琴	*
r	03	P061	02	03.02	Q274	Y272	群平-	群平-	群平-	01b	066p	群平-	群平-	群平-	渠姬切	渠姬切	巨基切	01b	0229-0294d	02076728-00000003	丌	丌	丌	丌	*
r	03	P062	03	03.03	q004	L050	群平-	群平-	群平-	01b	066p	群平-	群平-	群平-	渠宜切	巨宜切	渠之切	02a	0229-0295a	02076728-00000004	其	其	其	其	*
r	03	P063	04	03.04	Q198	Y202	群上+	群上+	群上+	01b	066p	群上+	群上+	群上+	渠九切	渠九切	渠九切	02a	0229-0295a	02076728-00000004	臼	𦥑	𦥑	𦥑	*
r	03	P064	05	03.05	Q450	Y450	群去+	群去+	群去+	02a	066q	群去+	群去+	群去+	渠用切	渠用切	渠用切	02b	0229-0295b	02076728-00000005	共	共	共	共	*
r	03	P065	06	03.06	Q090	Y090	疑平+	疑平+	疑平+	02a	066q	疑平+	疑平+	疑平+	語軒切	語軒切	魚〾軒切	02b	0229-0295b	02076728-00000005	言	言	言	言	讠
r	03	P066	07	03.07	Q060	Y060	疑平-	疑平-	疑平-	08b	073p	疑平-	疑平-	疑平-	五加切	五加切	五加切	12a	0229-0300a	02076728-00000024	牙	牙	牙	牙	*
r	03	P067	08	03.08	Q398	Y397	疑平-	疑平-	疑平-	08b	073p	疑平-	疑平-	疑平-	元初切	語居切	偶初切	12a	0229-0300a	02076728-00000024	魚	魚	魚	魚	鱼
r	03	P068	09	03.09	Q359	Y358	疑平-	疑平-	疑平-	12a	076q	疑平-	疑平-	疑平-	語由切	語由切	語由切	17b	0229-0302d	02076728-00000035	牛	牛	牛	牛	*
r	03	P069	10	03.10	Q347	Y350	疑平-	疑平-	疑平-	14a	078q	疑平-	疑平-	疑平-	魚爲切	魚爲切	魚嬀切	20b	0229-0304b	02076728-00000041	危	危	危	危	*
r	03	P070	11	03.11	Q449	Y449	疑平-	疑平-	疑平-	14a	078q	疑平-	疑平-	疑平-	牛林切	牛林切	牛林切	20b	0229-0304b	02076728-00000041	乑	乑	乑	乑	㐺,众
r	03	P071	12	03.12	q006	L061	疑平-	疑平-	疑平-	14a	078q	疑平-	疑平-	疑平-	魚喧切	魚喧切	魚元切	21a	0229-0304c	02076728-00000042	元	元	元	元	*
r	03	P072	13	03.13	Q352	Y347	疑平-	疑平-	疑平-	14a	078q	疑上+	疑上+	疑平-	魚險切	魚險切	魚險切	21a	0229-0304c	02076728-00000042	广	广	广	广	*
r	03	P073	14	03.14	Q236	Y242	疑平-	疑平-	疑平-	17a	081q	疑上-	疑上-	疑平-	五寡切	五寡切	五寡切	25a	0229-0306c	02076728-00000050	瓦	瓦	瓦	瓦	*
r	03	P074	15	03.15	Q176	Y174	疑去+	疑去+	疑去+	18a	082q	疑去+	疑去+	疑去+	五漑切	五漑切	五慨切	27a	0229-0307c	02076728-00000054	𥝌	〾未	〾未	〾未	*
r	03	P075	16	03.16	Q228	Y229	疑去-	疑去-	疑去-	18a	082q	疑去-	疑去-	疑去-	五過切	五過切	五過切	27a	0229-0307c	02076728-00000054	臥	臥	卧	臥	*
r	03	P076	17	03.17	Q309	Y309	疑入+	疑入+	疑入+	18a	082q	疑入+	疑入+	疑入+	魚厥切	魚厥切	魚厥切	27a	0229-0307c	02076728-00000054	月	月	月	月	*
r	03	P077	18	03.18	Q004	Y007	疑入-	疑入-	疑入-	18b	083p	疑入-	疑入-	疑入-	魚欲切	魚欲切	魚欲切	27b	0229-0307d	02076728-00000055	玉	玉	玉	玉	*
r	03	P078	19	03.19	Q350	Y346	疑入-	疑入-	疑入-	22b	087p	疑入-	疑入-	疑入-	五葛切	五葛切	五桀切	33b	0229-0310d	02076728-00000067	屵	屵	屵	屵	*
r	03	P079	20	03.20	Q145	Y150	疑入-	疑入-	疑入-	23a	087q	疑入-	疑入-	疑入-	吾曷切	五曷切	吾曷切	34a	0229-0311a	02076728-00000068	歹	歹	歹	歹	歺



v	04	32	21
r	04	P080	01	04.01	Q159	Y158	端平+	端平+	端平+	01b	091p	端平+	端平+	端平+	德紅切	德紅切	德紅切	02a	0229-0313a	02076728-00000076	東	東	東	東	东
r	04	P081	02	04.02	Q315	Y315	端平-	端平-	端平-	01b	091p	端平-	端平-	端平-	德河切	德河切	德河切	02a	0229-0313a	02076728-00000076	多	多	多	多	*
